reward_case,slip_case,slip_enabled,slip_prob,seed,gamma,first_success_episode,final100_success_rate,final100_mean_episode_length,final100_mean_total_reward,final100_mean_base_total_reward,final100_mean_illegal_actions,final100_mean_illegal_pickups,final100_mean_illegal_dropoffs,final100_mean_slipped_actions,final100_mean_pickup_step,final100_mean_dropoff_after_pickup_steps
original,slip,True,0.2,40,0.99,23,0.98,48.16,-35.5,-35.5,0.88,0.43,0.45,9.17,33.816326530612244,11.244897959183673
original,slip,True,0.2,41,0.99,42,0.99,57.12,-42.9,-42.9,0.73,0.33,0.4,10.97,45.15151515151515,10.525252525252526
original,slip,True,0.2,42,0.99,22,0.96,56.97,-44.19,-44.19,0.82,0.5,0.32,10.61,41.350515463917525,11.197916666666666
original,slip,True,0.2,43,0.99,12,0.99,44.4,-29.82,-29.82,0.69,0.34,0.35,8.03,33.6,10.868686868686869
original,slip,True,0.2,45,0.99,13,0.99,47.73,-34.05,-34.05,0.79,0.36,0.43,8.75,37.0,10.707070707070708
original,slip,True,0.2,44,0.99,8,1.0,56.77,-43.15,-43.15,0.82,0.51,0.31,10.69,45.91,10.86
original,slip,True,0.2,46,0.99,13,1.0,48.08,-33.29,-33.29,0.69,0.34,0.35,9.1,37.65,10.43
original,slip,True,0.2,50,0.99,26,0.99,48.9,-35.85,-35.85,0.86,0.4,0.46,9.14,37.14141414141414,10.232323232323232
original,slip,True,0.2,48,0.99,6,0.98,54.34,-41.23,-41.23,0.83,0.43,0.4,10.57,40.13265306122449,11.23469387755102
original,slip,True,0.2,47,0.99,31,0.98,50.34,-38.94,-38.94,1.02,0.52,0.5,9.16,36.3469387755102,10.938775510204081
original,slip,True,0.2,49,0.99,33,0.99,52.57,-39.07,-39.07,0.81,0.4,0.41,9.84,40.09090909090909,10.98989898989899
original,slip,True,0.2,51,0.99,25,0.98,54.69,-42.39,-42.39,0.92,0.54,0.38,10.47,40.92857142857143,10.795918367346939
original,slip,True,0.2,52,0.99,20,0.97,56.4,-43.32,-43.32,0.81,0.41,0.4,10.19,44.494949494949495,10.515463917525773
original,slip,True,0.2,53,0.99,21,1.0,46.9,-32.02,-32.02,0.68,0.39,0.29,8.55,35.78,11.12
original,slip,True,0.2,54,0.99,22,0.97,53.72,-41.63,-41.63,0.92,0.54,0.38,9.91,41.23232323232323,11.072164948453608
original,slip,True,0.2,55,0.99,14,0.99,55.94,-43.79,-43.79,0.96,0.51,0.45,10.56,43.333333333333336,11.151515151515152
original,slip,True,0.2,56,0.99,7,0.97,51.66,-37.95,-37.95,0.74,0.35,0.39,9.82,35.70103092783505,11.371134020618557
original,slip,True,0.2,58,0.99,1,0.99,51.32,-39.35,-39.35,0.98,0.49,0.49,9.9,39.343434343434346,10.474747474747474
original,slip,True,0.2,59,0.99,9,0.98,50.21,-36.65,-36.65,0.78,0.44,0.34,9.35,35.69387755102041,11.459183673469388
original,slip,True,0.2,60,0.99,3,0.97,58.36,-47.62,-47.62,1.07,0.48,0.59,10.92,44.47959183673469,10.97938144329897
original,slip,True,0.2,57,0.99,11,0.99,57.07,-44.92,-44.92,0.96,0.47,0.49,11.37,46.61,10.535353535353535
original,slip,True,0.2,61,0.99,26,0.96,55.35,-43.65,-43.65,0.94,0.5,0.44,10.78,38.510416666666664,10.8125
original,slip,True,0.2,62,0.99,39,0.97,51.21,-38.49,-38.49,0.85,0.43,0.42,9.7,35.56701030927835,11.041237113402062
original,slip,True,0.2,63,0.99,37,0.98,52.11,-38.01,-38.01,0.72,0.4,0.32,9.84,39.63636363636363,11.040816326530612
original,slip,True,0.2,64,0.99,4,0.99,43.53,-28.05,-28.05,0.59,0.27,0.32,8.29,31.01010101010101,10.93939393939394
original,slip,True,0.2,65,0.99,21,0.94,59.53,-47.53,-47.53,0.86,0.44,0.42,11.66,42.739583333333336,11.02127659574468
original,slip,True,0.2,66,0.99,30,0.96,57.51,-47.34,-47.34,1.11,0.66,0.45,10.73,40.791666666666664,10.78125
original,slip,True,0.2,67,0.99,42,0.97,52.68,-39.33,-39.33,0.78,0.31,0.47,9.62,40.474747474747474,10.835051546391753
original,slip,True,0.2,69,0.99,19,0.97,52.75,-39.4,-39.4,0.78,0.32,0.46,10.01,37.44329896907217,10.75257731958763
original,slip,True,0.2,68,0.99,26,0.97,52.4,-40.4,-40.4,0.93,0.47,0.46,9.89,40.38383838383838,10.525773195876289
original,slip,True,0.2,70,0.99,7,0.98,53.28,-40.8,-40.8,0.9,0.46,0.44,9.69,40.02020202020202,11.887755102040817
original,slip,True,0.2,71,0.99,19,1.0,54.0,-41.64,-41.64,0.96,0.46,0.5,10.26,42.26,11.74
original,slip,True,0.2,72,0.99,11,1.0,43.31,-28.25,-28.25,0.66,0.34,0.32,8.24,32.36,10.95
original,slip,True,0.2,74,0.99,20,0.98,51.76,-39.1,-39.1,0.88,0.44,0.44,9.86,37.45918367346939,11.275510204081632
original,slip,True,0.2,73,0.99,19,0.98,59.38,-48.25,-48.25,1.05,0.54,0.51,11.1,45.142857142857146,11.36734693877551
original,slip,True,0.2,75,0.99,41,0.98,50.7,-36.96,-36.96,0.76,0.34,0.42,9.56,37.33673469387755,10.316326530612244
original,slip,True,0.2,76,0.99,68,0.98,55.8,-42.87,-42.87,0.85,0.48,0.37,11.47,42.96969696969697,11.39795918367347
original,slip,True,0.2,78,0.99,4,0.97,48.91,-35.47,-35.47,0.77,0.3,0.47,9.17,33.876288659793815,10.360824742268042
original,slip,True,0.2,80,0.99,12,0.99,49.33,-36.46,-36.46,0.88,0.47,0.41,9.03,37.292929292929294,10.515151515151516
original,slip,True,0.2,79,0.99,8,0.97,54.8,-41.63,-41.63,0.8,0.41,0.39,10.54,41.69387755102041,10.1340206185567
original,slip,True,0.2,77,0.99,16,0.94,63.14,-52.49,-52.49,1.01,0.47,0.54,12.33,44.329787234042556,10.074468085106384
original,slip,True,0.2,83,0.99,5,0.99,44.88,-30.75,-30.75,0.74,0.43,0.31,8.02,34.26,10.626262626262626
original,slip,True,0.2,81,0.99,3,0.99,51.22,-38.08,-38.08,0.85,0.51,0.34,9.23,39.343434343434346,10.373737373737374
original,slip,True,0.2,82,0.99,46,0.96,56.16,-44.91,-44.91,0.99,0.53,0.46,10.92,40.350515463917525,11.385416666666666
original,slip,True,0.2,85,0.99,0,0.95,62.87,-52.01,-52.01,1.01,0.6,0.41,12.23,44.49473684210526,11.157894736842104
original,slip,True,0.2,84,0.99,1,0.96,63.04,-53.41,-53.41,1.17,0.61,0.56,12.29,45.333333333333336,12.0
original,slip,True,0.2,86,0.99,3,0.95,52.48,-41.26,-41.26,0.97,0.46,0.51,9.98,40.39393939393939,10.852631578947369
original,slip,True,0.2,87,0.99,0,0.97,52.42,-39.61,-39.61,0.84,0.4,0.44,10.02,36.824742268041234,11.030927835051546
original,slip,True,0.2,88,0.99,25,1.0,43.35,-27.57,-27.57,0.58,0.31,0.27,8.26,31.8,11.55
original,slip,True,0.2,89,0.99,33,0.99,53.76,-41.07,-41.07,0.9,0.42,0.48,9.79,42.41,11.303030303030303
