variant,case,seed,is_slippery,dense_reward,first_success_episode,first_success_total_steps,resuccess_gap_episodes,post50_success_rate,post100_success_rate
holes_respawn_to_start,det_dense,0,0,1,123,24539,38,0.02,0.01
holes_respawn_to_start,det_dense,1,0,1,32,6370,76,0.0,0.01
holes_respawn_to_start,det_dense,2,0,1,53,10444,65,0.0,0.02
holes_respawn_to_start,det_dense,3,0,1,110,21975,24,0.02,0.01
holes_respawn_to_start,det_dense,4,0,1,71,14053,52,0.0,0.01
holes_respawn_to_start,det_dense,5,0,1,21,4072,113,0.0,0.0
holes_respawn_to_start,det_dense,6,0,1,64,12786,72,0.0,0.01
holes_respawn_to_start,det_dense,7,0,1,175,34897,197,0.0,0.0
holes_respawn_to_start,det_dense,8,0,1,55,10903,100,0.0,0.01
holes_respawn_to_start,det_dense,9,0,1,118,23435,27,0.04,0.02
holes_respawn_to_start,det_dense,10,0,1,41,8067,151,0.0,0.0
holes_respawn_to_start,det_dense,11,0,1,82,16331,323,0.0,0.0
holes_respawn_to_start,det_dense,12,0,1,82,16382,18,0.04,0.03
holes_respawn_to_start,det_dense,13,0,1,120,23831,245,0.0,0.0
holes_respawn_to_start,det_dense,14,0,1,103,20454,36,0.02,0.01
holes_respawn_to_start,det_dense,15,0,1,96,19174,14,0.02,0.01
holes_respawn_to_start,det_dense,16,0,1,37,7334,29,0.04,0.03
holes_respawn_to_start,det_dense,17,0,1,56,11064,27,0.02,0.01
holes_respawn_to_start,det_dense,18,0,1,72,14246,67,0.0,0.01
holes_respawn_to_start,det_dense,19,0,1,202,40378,59,0.0,0.01
holes_respawn_to_start,det_dense,20,0,1,17,3370,70,0.0,0.01
holes_respawn_to_start,det_dense,21,0,1,18,3480,96,0.0,0.01
holes_respawn_to_start,det_dense,22,0,1,21,4103,120,0.0,0.0
holes_respawn_to_start,det_dense,23,0,1,106,21157,7,0.02,0.03
holes_respawn_to_start,det_dense,24,0,1,87,17329,112,0.0,0.0
holes_respawn_to_start,det_dense,25,0,1,12,2348,368,0.0,0.0
holes_respawn_to_start,det_dense,26,0,1,212,42325,49,0.02,0.01
