case,snapshot_type,snapshot_label,distance,mean_value,count
det_dense,event_based,first_success_plus_50,8,0.04849944208699682,100
det_dense,event_based,first_success_plus_50,9,0.060247882507973784,100
det_dense,event_based,first_success_plus_50,10,0.08191605901483426,100
det_dense,event_based,first_success_plus_50,11,0.0966030622812542,100
det_dense,event_based,first_success_plus_50,12,0.11654430888825706,100
det_dense,event_based,first_success_plus_50,13,0.13568370783332734,100
det_dense,event_based,first_success_plus_50,14,0.15568421112054937,100
det_dense,event_based,first_success_plus_100,0,0.0,100
det_dense,event_based,first_success_plus_100,1,0.10073928557142858,100
det_dense,event_based,first_success_plus_100,2,0.02128915895880712,100
det_dense,event_based,first_success_plus_100,3,0.008810848624055314,100
det_dense,event_based,first_success_plus_100,4,0.016363896849888305,100
det_dense,event_based,first_success_plus_100,5,0.022097387610070567,100
det_dense,event_based,first_success_plus_100,6,0.03002595491006163,100
det_dense,event_based,first_success_plus_100,7,0.04731587474624775,100
det_dense,event_based,first_success_plus_100,8,0.06115627331942104,100
det_dense,event_based,first_success_plus_100,9,0.073965875434443,100
det_dense,event_based,first_success_plus_100,10,0.09872452007013406,100
det_dense,event_based,first_success_plus_100,11,0.11448271524841813,100
det_dense,event_based,first_success_plus_100,12,0.13604687622074482,100
det_dense,event_based,first_success_plus_100,13,0.15414744895736135,100
det_dense,event_based,first_success_plus_100,14,0.17213524444130318,100
stoch_sparse,fixed_episode,0,0,0.0,100
stoch_sparse,fixed_episode,0,1,0.0,100
stoch_sparse,fixed_episode,0,2,0.0,100
stoch_sparse,fixed_episode,0,3,0.0,100
stoch_sparse,fixed_episode,0,4,0.0,100
stoch_sparse,fixed_episode,0,5,0.0,100
stoch_sparse,fixed_episode,0,6,0.0,100
stoch_sparse,fixed_episode,0,7,0.0,100
stoch_sparse,fixed_episode,0,8,0.0,100
stoch_sparse,fixed_episode,0,9,0.0,100
stoch_sparse,fixed_episode,0,10,0.0,100
stoch_sparse,fixed_episode,0,11,0.0,100
stoch_sparse,fixed_episode,0,12,0.0,100
stoch_sparse,fixed_episode,0,13,0.0,100
stoch_sparse,fixed_episode,0,14,0.0,100
stoch_sparse,fixed_episode,100,0,0.0,100
stoch_sparse,fixed_episode,100,1,0.03840693483638866,100
stoch_sparse,fixed_episode,100,2,0.003920608659622445,100
stoch_sparse,fixed_episode,100,3,0.0004187787213655052,100
stoch_sparse,fixed_episode,100,4,0.00010719703259786595,100
stoch_sparse,fixed_episode,100,5,2.3194340378207115e-05,100
stoch_sparse,fixed_episode,100,6,6.4386021909746336e-06,100
stoch_sparse,fixed_episode,100,7,1.965182844942175e-06,100
stoch_sparse,fixed_episode,100,8,6.421183278445457e-07,100
stoch_sparse,fixed_episode,100,9,2.3108383765578373e-07,100
stoch_sparse,fixed_episode,100,10,5.1646361070012836e-08,100
stoch_sparse,fixed_episode,100,11,2.16195695292521e-08,100
stoch_sparse,fixed_episode,100,12,1.3201185923759024e-08,100
stoch_sparse,fixed_episode,100,13,1.1919619427986465e-08,100
stoch_sparse,fixed_episode,100,14,1.4926526571874777e-08,100
stoch_sparse,fixed_episode,500,0,0.0,100
stoch_sparse,fixed_episode,500,1,0.12151928710596585,100
stoch_sparse,fixed_episode,500,2,0.030830585512640937,100
stoch_sparse,fixed_episode,500,3,0.008221026928741194,100
stoch_sparse,fixed_episode,500,4,0.006474624641975552,100
stoch_sparse,fixed_episode,500,5,0.0034866794235062226,100
stoch_sparse,fixed_episode,500,6,0.002341584569512031,100
stoch_sparse,fixed_episode,500,7,0.001905811669278811,100
