variant,case,seed,is_slippery,dense_reward,first_success_episode,first_success_total_steps,resuccess_gap_episodes,post50_success_rate,post100_success_rate
holeless_control,det_dense,30,0,1,3,586,9,0.38,0.42
holeless_control,det_dense,31,0,1,3,590,7,0.28,0.42
holeless_control,det_dense,32,0,1,4,694,1,0.4,0.38
holeless_control,det_dense,33,0,1,1,154,2,0.32,0.36
holeless_control,det_dense,34,0,1,2,255,7,0.3,0.38
holeless_control,det_dense,35,0,1,1,107,1,0.32,0.37
holeless_control,det_dense,36,0,1,1,181,2,0.36,0.38
holeless_control,det_dense,37,0,1,4,797,2,0.44,0.44
holeless_control,det_dense,38,0,1,5,985,1,0.44,0.39
holeless_control,det_dense,39,0,1,3,551,5,0.34,0.35
holeless_control,det_dense,40,0,1,8,1531,1,0.56,0.47
holeless_control,det_dense,41,0,1,4,711,2,0.3,0.38
holeless_control,det_dense,42,0,1,3,595,1,0.52,0.42
holeless_control,det_dense,43,0,1,1,80,1,0.48,0.49
holeless_control,det_dense,44,0,1,1,109,1,0.38,0.4
holeless_control,det_dense,45,0,1,11,2115,3,0.34,0.35
holeless_control,det_dense,46,0,1,1,59,1,0.46,0.49
holeless_control,det_dense,47,0,1,2,268,1,0.4,0.35
holeless_control,det_dense,48,0,1,4,636,3,0.34,0.44
holeless_control,det_dense,49,0,1,7,1317,11,0.38,0.38
holeless_control,det_dense,50,0,1,2,334,2,0.46,0.42
holeless_control,det_dense,51,0,1,2,375,5,0.44,0.43
holeless_control,det_dense,52,0,1,4,656,3,0.4,0.4
holeless_control,det_dense,53,0,1,2,279,4,0.48,0.43
holeless_control,det_dense,54,0,1,1,64,3,0.4,0.42
holeless_control,det_dense,55,0,1,2,297,1,0.48,0.51
holeless_control,det_dense,56,0,1,2,318,5,0.46,0.4
holeless_control,det_dense,57,0,1,5,929,3,0.32,0.41
holeless_control,det_dense,58,0,1,5,853,1,0.38,0.39
holeless_control,det_dense,59,0,1,2,352,1,0.38,0.41
holeless_control,det_dense,60,0,1,4,696,1,0.4,0.43
holeless_control,det_dense,61,0,1,10,1899,5,0.46,0.55
holeless_control,det_dense,62,0,1,1,77,1,0.38,0.39
holeless_control,det_dense,63,0,1,2,369,1,0.4,0.42
holeless_control,det_dense,64,0,1,2,374,1,0.4,0.46
holeless_control,det_dense,65,0,1,2,316,1,0.36,0.39
holeless_control,det_dense,66,0,1,6,1176,5,0.46,0.46
holeless_control,det_dense,67,0,1,1,170,5,0.32,0.34
holeless_control,det_dense,68,0,1,2,380,3,0.38,0.38
holeless_control,det_dense,69,0,1,2,277,1,0.3,0.32
holeless_control,det_dense,70,0,1,7,1307,2,0.4,0.43
holeless_control,det_dense,71,0,1,1,101,1,0.42,0.43
holeless_control,det_dense,72,0,1,1,175,6,0.4,0.35
holeless_control,det_dense,73,0,1,2,311,1,0.3,0.39
holeless_control,det_dense,74,0,1,1,195,1,0.56,0.45
holeless_control,det_dense,75,0,1,2,268,2,0.38,0.44
holeless_control,det_dense,76,0,1,4,690,3,0.54,0.48
